Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
100,Todd Zeile,2004-02-08,New York Mets,MON,38,1.8,15,2021,7225,956,1923,244,1075,53,901,.266,.347,.427,.774,0,0,0.00,1.000,1,0,0,1.0,1,0,0,1,zeileto01
101,Ellis Burks,2004-02-06,Boston Red Sox,CLE,39,7.5,17,1989,7199,1247,2101,351,1205,179,790,.292,.364,.511,.875,,,,,,,,,,,,,burksel01
102,Wil Cordero,2004-02-06,Florida Marlins,MON,32,0.0,12,1191,4194,579,1159,121,558,48,319,.276,.333,.433,.766,,,,,,,,,,,,,cordewi01
103,Eric Karros,2004-02-06,Oakland Athletics,CHC,36,-0.8,13,1715,6338,789,1704,282,1016,58,545,.269,.326,.456,.782,,,,,,,,,,,,,karroer01
104,Damon Minor,2004-02-06,San Francisco Giants,PHI,30,-0.3,3,112,227,27,52,13,33,0,29,.229,.319,.432,.751,,,,,,,,,,,,,minorda01
105,Darren Oliver,2004-02-06,Florida Marlins,COL,33,2.2,11,90,180,15,43,1,17,0,7,.239,.279,.311,.590,84,76,5.02,1.548,279,218,2,1334.1,1504,158,561,788,oliveda02
106,Ivan Rodriguez HOF,2004-02-06,Detroit Tigers,FLA,32,12.5,13,1623,6167,942,1875,231,914,90,359,.304,.344,.488,.832,,,,,,,,,,,,,rodriiv01
107,Benito Baez,2004-02-05,Cincinnati Reds,FLA,27,-0.6,2,,,,,,,,,,,,,,,,,,,,,,,,,baezbe01
108,Clay Bellinger,2004-02-05,Baltimore Orioles,SFG,35,-0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,bellicl01
109,Mark Guthrie,2004-02-05,Pittsburgh Pirates,CHC,38,2.9,15,370,14,0,1,0,0,0,0,.071,.071,.071,.143,51,54,4.05,1.400,765,43,14,978.2,989,101,381,778,guthrma01
110,Antonio Osuna,2004-02-05,San Diego Padres,NYY,31,1.0,9,258,9,0,1,0,1,0,1,.111,.182,.111,.293,34,28,3.58,1.294,376,0,21,449.2,391,39,191,465,osunaan01
111,Rob Ryan,2004-02-05,Houston Astros,SFG,31,-0.2,4,,,,,,,,,,,,,,,,,,,,,,,,,ryanro02
112,Esix Snead,2004-02-05,New York Mets,NYM,28,0.1,1,17,13,3,4,1,3,4,1,.308,.357,.538,.896,,,,,,,,,,,,,sneades01
113,Brad Clontz,2004-02-04,Texas Rangers,COL,33,,8,,,,,,,,,,,,,,,,,,,,,,,,,clontbr01
114,Joe Girardi,2004-02-04,New York Yankees,STL,39,-0.1,15,1277,4127,454,1100,36,422,44,279,.267,.315,.350,.666,,,,,,,,,,,,,girarjo01
115,José Hernández,2004-02-04,Los Angeles Dodgers,PIT,34,4.8,12,1323,4021,551,1011,146,524,37,332,.251,.310,.418,.728,,,,,,,,,,,,,hernajo01
116,Scott Erickson,2004-02-03,New York Mets,BAL,36,-0.9,12,11,19,4,2,0,1,0,4,.105,.261,.158,.419,140,128,4.51,1.449,355,350,0,2267.0,2473,211,813,1226,ericksc01
117,Mike Kelly,2004-02-03,New York Yankees,KCR,34,,9,,,,,,,,,,,,,,,,,,,,,,,,,kellymi02
118,Vladimir Núñez,2004-02-03,Colorado Rockies,FLA,29,1.5,6,198,59,3,8,1,5,0,1,.136,.150,.186,.336,17,29,4.68,1.395,208,27,21,382.2,370,47,164,280,nunezvl01
