Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
895,Mike Redmond,32,FLA,NL,38,26,18,251.2,207,196,10,1,3,.995,-1,-5,-5,-21,,7.37,5.28,C-1B-3B,redmomi01
896,Rick Reed,38,MIN,AL,27,21,2,135.0,17,5,11,1,0,.941,,,1,1,,1.07,0.59,P,reedri01
897,Steve Reed,38,COL,NL,67,0,0,63.1,18,4,14,0,2,1.000,,,2,6,,2.56,0.27,P,reedst01
898,Pokey Reese,30,PIT,NL,33,29,27,259.0,191,66,119,6,24,.969,1,6,0,0,,6.43,5.61,2B,reesepo01
899,Dan Reichert,26,TOR,AL,15,0,0,16.1,2,1,1,0,0,1.000,,,-3,-37,,1.10,0.13,P,reichda01
900,Brian Reith,25,CIN,NL,42,1,0,61.1,8,1,6,1,0,.875,,,-1,-3,,1.03,0.17,P,reithbr01
901,Chris Reitsma,25,CIN,NL,57,3,0,84.0,12,1,9,2,0,.833,,,-3,-7,,1.07,0.18,P,reitsch01
902,Desi Relaford,29,KCR,AL,132,124,100,1107.2,551,237,298,16,59,.971,-4,-4,-7,-7,,4.35,3.61,2B-3B-OF-SS,relafde01
903,Mike Remlinger,37,CHC,NL,73,0,0,69.0,7,3,4,0,0,1.000,,,0,0,,0.91,0.10,P,remlimi01
904,Edgar Renteria,26,STL,NL,156,154,142,1367.1,646,191,439,16,83,.975,3,3,-1,-1,,4.15,4.04,SS,renteed01
905,Michael Restovich,24,MIN,AL,17,13,12,131.1,30,29,1,0,0,1.000,2,17,0,0,,2.06,1.76,OF,restomi01
906,Alberto Reyes,33,NYY,AL,13,0,0,17.0,1,1,0,0,0,1.000,,,-1,-12,,0.53,0.08,P,reyesal01
907,Carlos Reyes,34,TBD,AL,10,3,0,39.2,6,3,3,0,1,1.000,,,0,0,,1.36,0.60,P,reyesca01
908,Dennys Reyes,26,TOT,NL,15,0,0,12.2,4,1,2,1,0,.750,,,-1,-94,,2.13,0.20,P,reyesde01
909,José Reyes,20,NYM,NL,69,69,67,596.1,331,107,215,9,42,.973,1,2,7,14,,4.86,4.67,SS,reyesjo01
910,Rene Reyes,25,COL,NL,36,23,20,225.0,55,50,3,2,0,.964,1,6,10,53,,2.12,1.47,OF,reyesre01
911,Shane Reynolds,35,ATL,NL,30,29,0,167.1,27,7,20,0,3,1.000,,,-1,-1,,1.45,0.90,P,reynosh01
912,Arthur Rhodes,33,SEA,AL,67,0,0,54.0,7,1,6,0,0,1.000,,,1,4,,1.17,0.10,P,rhodear01
