Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
543,Erik Sabel,24,ARI,NL,0,0,,6.52,7,0,1,0,0,0,9.2,12,7,7,1,6,2,6,2,0,1,48,73,5.72,1.862,11.2,0.9,5.6,5.6,1.00,sabeler01
544,Bret Saberhagen,35,BOS,AL,10,6,.625,2.95,22,22,0,0,0,0,119.0,122,43,39,11,11,0,81,2,0,1,480,171,3.30,1.118,9.2,0.8,0.8,6.1,7.36,saberbr01
545,Benj Sampson*,24,MIN,AL,3,2,.600,8.11,30,4,2,0,0,0,71.0,107,65,64,17,34,3,56,0,2,2,345,63,6.11,1.986,13.6,2.2,4.3,7.1,1.65,sampsbe01
546,Jesus Sanchez*,24,FLA,NL,5,7,.417,6.01,59,10,8,0,0,0,76.1,84,53,51,16,60,11,62,4,2,5,362,72,6.75,1.886,9.9,1.9,7.1,7.3,1.03,sanchje01
547,Scott Sanders,30,CHC,NL,4,7,.364,5.52,67,6,16,0,0,2,104.1,112,69,64,19,53,8,89,0,1,5,469,81,5.32,1.581,9.7,1.6,4.6,7.7,1.68,sandesc02
548,Julio Santana,26,TBD,AL,1,4,.200,7.32,22,5,7,0,0,0,55.1,66,49,45,10,32,0,34,7,0,0,261,68,6.37,1.771,10.7,1.6,5.2,5.5,1.06,santaju01
549,Marino Santana,27,BOS,AL,0,0,,15.75,3,0,1,0,0,0,4.0,8,7,7,3,3,0,4,0,0,1,22,34,13.13,2.750,18.0,6.8,6.8,9.0,1.33,santama01
550,Jose Santiago,24,KCR,AL,3,4,.429,3.42,34,0,15,0,0,2,47.1,46,23,18,7,14,2,15,2,1,2,203,146,5.44,1.268,8.7,1.3,2.7,2.9,1.07,santijo03
551,Scott Sauerbeck*,27,PIT,NL,4,1,.800,2.00,65,0,16,0,0,2,67.2,53,19,15,6,38,5,55,4,0,3,287,232,4.52,1.345,7.0,0.8,5.1,7.3,1.45,sauersc01
552,Tony Saunders*,25,TBD,AL,3,3,.500,6.43,9,9,0,0,0,0,42.0,53,39,30,6,29,0,30,4,0,3,204,77,5.92,1.952,11.4,1.3,6.2,6.4,1.03,saundto01
553,Aaron Scheffer,23,SEA,AL,0,0,,1.93,4,0,3,0,0,0,4.2,6,5,1,0,3,0,4,1,0,0,24,275,3.99,1.929,11.6,0.0,5.8,7.7,1.33,schefaa01
554,Curt Schilling,32,PHI,NL,15,6,.714,3.54,24,24,0,8,1,0,180.1,159,74,71,25,44,0,152,5,0,4,735,136,4.07,1.126,7.9,1.2,2.2,7.6,3.45,schilcu01
555,Jason Schmidt,26,PIT,NL,13,11,.542,4.19,33,33,0,2,0,0,212.2,219,110,99,24,85,4,148,3,4,6,937,110,4.45,1.429,9.3,1.0,3.6,6.3,1.74,schmija01
556,Scott Schoeneweis*,25,ANA,AL,1,1,.500,5.49,31,0,6,0,0,0,39.1,47,27,24,4,14,1,22,0,0,1,175,89,4.41,1.551,10.8,0.9,3.2,5.0,1.57,schoesc01
557,Pete Schourek*,30,PIT,NL,4,7,.364,5.34,30,17,2,0,0,0,113.0,128,75,67,20,49,5,94,5,0,0,511,87,5.20,1.566,10.2,1.6,3.9,7.5,1.92,schoupe01
558,Steve Schrenk,30,PHI,NL,1,3,.250,4.29,32,2,8,0,0,1,50.1,41,24,24,6,14,4,36,7,0,2,209,112,4.50,1.093,7.3,1.1,2.5,6.4,2.57,schrest02
559,Rudy Seanez,30,ATL,NL,6,1,.857,3.35,56,0,13,0,0,3,53.2,47,21,20,3,21,1,41,1,0,3,225,134,3.56,1.267,7.9,0.5,3.5,6.9,1.95,seaneru01
560,Aaron Sele,29,TEX,AL,18,9,.667,4.79,33,33,0,2,2,0,205.0,244,115,109,21,70,3,186,12,0,4,920,106,3.85,1.532,10.7,0.9,3.1,8.2,2.66,seleaa01
561,Dan Serafini*,25,CHC,NL,3,2,.600,6.93,42,4,8,0,0,1,62.1,86,51,48,9,32,3,17,1,0,3,302,65,6.05,1.893,12.4,1.3,4.6,2.5,0.53,serafda01
562,Scott Service,32,KCR,AL,5,5,.500,6.09,68,0,29,0,0,8,75.1,87,51,51,13,42,8,68,3,0,3,352,82,5.36,1.712,10.4,1.6,5.0,8.1,1.62,servisc01
563,Jeff Shaw,32,LAD,NL,2,4,.333,2.78,64,0,56,0,0,34,68.0,64,25,21,6,15,1,43,1,0,1,284,155,3.72,1.162,8.5,0.8,2.0,5.7,2.87,shawje01
564,Paul Shuey,28,CLE,AL,8,5,.615,3.53,72,0,28,0,0,6,81.2,68,37,32,8,40,7,103,1,0,8,351,141,3.39,1.322,7.5,0.9,4.4,11.4,2.58,shueypa01
565,Anthony Shumaker*,26,PHI,NL,0,3,.000,5.96,8,4,2,0,0,0,22.2,23,17,15,3,14,0,17,1,1,1,105,82,5.34,1.632,9.1,1.2,5.6,6.8,1.21,shumaan01
566,Jose Silva,25,PIT,NL,2,8,.200,5.73,34,12,9,0,0,4,97.1,108,70,62,10,39,0,77,3,3,4,433,81,4.18,1.510,10.0,0.9,3.6,7.1,1.97,silvajo01
567,Bill Simas,27,CHW,AL,6,3,.667,3.75,70,0,21,0,0,2,72.0,73,36,30,6,32,6,41,6,1,4,324,132,4.66,1.458,9.1,0.8,4.0,5.1,1.28,simasbi01
568,Steve Sinclair*,27,TOT,AL,0,1,.000,6.52,21,0,6,0,0,0,19.1,22,16,14,5,14,2,18,2,0,0,95,78,7.12,1.862,10.2,2.3,6.5,8.4,1.29,sinclst01
569,Steve Sinclair*,27,TOR,AL,0,0,,12.71,3,0,1,0,0,0,5.2,7,8,8,4,4,0,3,1,0,0,28,40,13.90,1.941,11.1,6.4,6.4,4.8,0.75,sinclst01
570,Steve Sinclair*,27,SEA,AL,0,1,.000,3.95,18,0,5,0,0,0,13.2,15,8,6,1,10,2,15,1,0,0,67,129,4.30,1.829,9.9,0.7,6.6,9.9,1.50,sinclst01
571,Mike Sirotka*,28,CHW,AL,11,13,.458,4.00,32,32,0,3,1,0,209.0,236,108,93,24,57,2,125,3,0,4,909,123,4.29,1.402,10.2,1.0,2.5,5.4,2.19,sirotmi01
572,Heathcliff Slocumb,33,TOT,MLB,3,2,.600,3.77,50,0,19,0,0,2,62.0,64,28,26,5,39,7,60,3,0,4,287,124,4.28,1.661,9.3,0.7,5.7,8.7,1.54,slocuhe01
573,Heathcliff Slocumb,33,BAL,AL,0,0,,12.46,10,0,7,0,0,0,8.2,15,12,12,2,9,2,12,2,0,1,49,39,7.17,2.769,15.6,2.1,9.3,12.5,1.33,slocuhe01
